20220103T,20.55,20.55,20.55,20.55,0.00
20220104T,21.90,21.90,21.90,21.90,0.00
20220105T,21.90,21.90,21.90,21.90,0.00
20220106T,21.35,21.35,21.35,21.35,0.00
20220107T,21.65,21.65,21.65,21.65,0.00
20220110T,21.65,21.65,21.65,21.65,0.00
20220111T,22.00,22.00,22.00,22.00,0.00
20220112T,22.50,22.50,22.50,22.50,0.00
20220113T,23.00,23.00,23.00,23.00,0.00
20220114T,23.50,23.50,23.50,23.50,0.00
20220118T,23.50,23.50,23.50,23.50,0.00
20220119T,23.50,23.50,23.50,23.50,0.00
20220120T,23.50,23.50,23.50,23.50,0.00
20220121T,23.80,23.80,23.80,23.80,0.00
20220124T,23.70,23.70,23.70,23.70,0.00
20220125T,22.70,22.70,22.70,22.70,0.00
20220126T,22.70,22.70,22.70,22.70,0.00
20220127T,22.85,22.85,22.85,22.85,0.00
20220128T,22.65,22.65,22.65,22.65,0.00
20220131T,22.65,22.65,22.65,22.65,0.00
20220201T,22.65,22.65,22.65,22.65,0.00
20220202T,22.00,22.00,22.00,22.00,0.00
20220203T,22.00,22.00,22.00,22.00,0.00
20220204T,21.75,21.75,21.75,21.75,0.00
20220207T,22.95,22.95,22.95,22.95,0.00
20220208T,22.80,22.80,22.80,22.80,0.00
20220209T,22.65,22.65,22.65,22.65,0.00
20220210T,22.40,22.40,22.40,22.40,0.00
20220211T,22.20,22.20,22.20,22.20,0.00
20220214T,22.20,22.20,22.20,22.20,0.00
20220215T,21.90,21.90,21.90,21.90,0.00
20220216T,21.70,21.70,21.70,21.70,0.00
20220217T,21.60,21.60,21.60,21.60,0.00
20220218T,21.65,21.65,21.65,21.65,0.00
20220222T,21.90,21.90,21.90,21.90,0.00
20220223T,21.90,21.90,21.90,21.90,0.00
20220224T,21.55,21.55,21.55,21.55,0.00
20220225T,22.10,22.10,22.10,22.10,0.00
20220228T,22.00,22.00,22.00,22.00,0.00
20220301T,20.85,20.85,20.85,20.85,0.00
20220302T,20.75,20.75,20.75,20.75,0.00
20220303T,20.35,20.35,20.35,20.35,0.00
20220304T,19.65,19.65,19.65,19.65,0.00
20220307T,19.65,19.65,19.65,19.65,0.00
20220308T,20.10,20.10,20.10,20.10,0.00
20220309T,20.75,20.75,20.75,20.75,0.00
20220310T,21.75,21.75,21.75,21.75,0.00
20220311T,21.95,21.95,21.95,21.95,0.00
20220314T,21.85,21.85,21.85,21.85,0.00
20220315T,21.75,21.75,21.75,21.75,0.00
20220316T,21.75,21.75,21.75,21.75,0.00
20220317T,21.75,21.75,21.75,21.75,0.00
20220318T,21.75,21.75,21.75,21.75,0.00
20220321T,21.60,21.60,21.60,21.60,0.00
20220322T,21.90,21.90,21.90,21.90,0.00
20220323T,22.05,22.05,22.05,22.05,0.00
20220324T,22.70,22.70,22.70,22.70,0.00
20220325T,22.60,22.60,22.60,22.60,0.00
20220328T,22.75,22.75,22.75,22.75,0.00
20220329T,23.20,23.20,23.20,23.20,0.00
20220330T,23.55,23.55,23.55,23.55,0.00
20220331T,23.80,23.80,23.80,23.80,0.00
20220401T,23.80,23.80,23.80,23.80,0.00
20220404T,23.80,23.80,23.80,23.80,0.00
20220405T,23.75,23.75,23.75,23.75,0.00
20220406T,23.65,23.65,23.65,23.65,0.00
20220407T,23.65,23.65,23.65,23.65,0.00
20220408T,23.80,23.80,23.80,23.80,0.00
20220411T,24.50,24.50,24.50,24.50,0.00
20220412T,24.40,24.40,24.40,24.40,0.00
20220413T,24.40,24.40,24.40,24.40,0.00
20220414T,24.40,24.40,24.40,24.40,0.00
20220418T,24.25,24.25,24.25,24.25,0.00
20220419T,24.00,24.00,24.00,24.00,0.00
20220420T,24.00,24.00,24.00,24.00,0.00
20220421T,23.90,23.90,23.90,23.90,0.00
20220422T,23.80,23.80,23.80,23.80,0.00
20220425T,23.80,23.80,23.80,23.80,0.00
20220426T,23.80,23.80,23.80,23.80,0.00
20220427T,23.80,23.80,23.80,23.80,0.00
20220428T,24.00,24.00,24.00,24.00,0.00
20220429T,24.10,24.10,24.10,24.10,0.00
20220502T,24.80,24.80,24.80,24.80,0.00
20220503T,24.80,24.80,24.80,24.80,0.00
20220504T,25.70,25.70,25.70,25.70,0.00
20220505T,25.70,25.70,25.70,25.70,0.00
20220506T,25.80,25.80,25.80,25.80,0.00
20220509T,25.80,25.80,25.80,25.80,0.00
20220510T,24.90,24.90,24.90,24.90,0.00
20220511T,24.20,24.20,24.20,24.20,0.00
20220512T,23.30,23.30,23.30,23.30,0.00
20220513T,24.10,24.10,24.10,24.10,0.00
20220516T,24.10,24.10,24.10,24.10,0.00
20220517T,23.80,23.80,23.80,23.80,0.00
20220518T,23.90,23.90,23.90,23.90,0.00
20220519T,24.10,24.10,24.10,24.10,0.00
20220520T,24.50,24.50,24.50,24.50,0.00
20220523T,24.90,24.90,24.90,24.90,0.00
20220524T,25.30,25.30,25.30,25.30,0.00
20220525T,25.30,25.30,25.30,25.30,0.00
20220526T,25.30,25.30,25.30,25.30,0.00
20220527T,25.30,25.30,25.30,25.30,0.00
20220531T,25.60,25.60,25.60,25.60,0.00
20220601T,25.70,25.70,25.70,25.70,0.00
20220602T,25.30,25.30,25.30,25.30,0.00
20220603T,25.30,25.30,25.30,25.30,0.00
20220606T,25.10,25.10,25.10,25.10,0.00
20220607T,24.80,24.80,24.80,24.80,0.00
20220608T,24.50,24.50,24.50,24.50,0.00
20220609T,24.40,24.40,24.40,24.40,0.00
20220610T,24.70,24.70,24.70,24.70,0.00
20220613T,24.40,24.40,24.40,24.40,0.00
20220614T,24.30,24.30,24.30,24.30,0.00
20220615T,24.40,24.40,24.40,24.40,0.00
20220616T,24.40,24.40,24.40,24.40,0.00
20220617T,24.40,24.40,24.40,24.40,0.00
20220620T,24.40,24.40,24.40,24.40,0.00
20220621T,25.10,25.10,25.10,25.10,0.00
20220622T,24.90,24.90,24.90,24.90,0.00
20220623T,25.60,25.60,25.60,25.60,0.00
20220624T,25.65,25.65,25.65,25.65,0.00
20220627T,25.40,25.40,25.40,25.40,0.00
20220628T,25.20,25.20,25.20,25.20,0.00
20220629T,24.80,24.80,24.80,24.80,0.00
20220630T,25.10,25.10,25.10,25.10,0.00
20220701T,25.10,25.10,25.10,25.10,0.00
20220705T,25.10,25.10,25.10,25.10,0.00
20220706T,24.60,24.60,24.60,24.60,0.00
20220707T,24.60,24.60,24.60,24.60,0.00
20220708T,24.20,24.20,24.20,24.20,0.00
20220711T,24.10,24.10,24.10,24.10,0.00
20220712T,24.00,24.00,24.00,24.00,0.00
20220713T,23.85,23.85,23.85,23.85,0.00
20220714T,23.50,23.50,23.50,23.50,0.00
20220715T,23.35,23.35,23.35,23.35,0.00
20220718T,23.50,23.50,23.50,23.50,0.00
